character_class,image
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_0.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_10.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_100.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1000.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1001.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1002.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1003.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1004.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1005.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1006.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1007.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1008.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1009.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_101.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1010.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1011.jpg
Gaara,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1012.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1013.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1014.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1015.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1016.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1017.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1018.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1019.jpg
Naruto,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_102.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1020.jpg
Teuchi(ramen),C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1021.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1022.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1023.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1024.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1025.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1026.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1027.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1028.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1029.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_103.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1030.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1031.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1032.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1033.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1034.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1035.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1036.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1037.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1038.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1039.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_104.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1040.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1041.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1042.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1043.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1044.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1045.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1046.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1047.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1048.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1049.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_105.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1050.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1051.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1052.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1053.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1054.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1055.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1056.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1057.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1058.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1059.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_106.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1060.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1061.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1062.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1063.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1064.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1065.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1066.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1067.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1068.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1069.jpg
Sakura,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_107.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1070.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1071.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1072.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1073.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1074.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1075.jpg
Iruka,C:/Users/Ivan/PycharmProjects/image-ekukovenko/images\image_1076.jpg
