text,rate
"Эххх помню были времена, все началось в очень далеком уже 2003 году и первый запуск Half-Life в компьютерном клубе когда мы собирались с друзьями после школы и устраивали катки пять на пять в виде захвата флага или просто в режиме deathmatch и попутно осваивали тактику командной игры в Counter-Strike 1.0 (олды здесь ?) и наше время пролетало незаметно. После проходил через все выходы обновлений версий: 1.3, 1.4, 1.5, и само собой всеми известная Counter Strike 1.6, которая и является последней версией первой игры всеми любимого Counter-Strike в целом! Ведь тогда никто и не думал и даже не мог предположить что по выходу столь долгожданной Counter-Strike: Global Offensive обычная соревновательная игра перерастет во что-то большее и превратится в настоящий цирк, где читеры станут нормальным явлением, красивые текстуры на оружии будут являться неким высоким статусом, а обычные игроки превратятся в клоунов. Я конечно понимаю, что большинство игроков перед входом в эту игру не ставят перед собой каких-то конкретных целей, а просто приходят сюда отдохнуть и немного повеселиться, но то что происходит в игре сейчас это самый настоящий токсичный цирк. Хочется поделится своим мнением по данном проблематике...Игровой процесс:Хорошо вспоминается день релиза новой Counter-Strike: Global Offensive, я учился на четвертом курсе в институте и запомнил этот день хорошо. Тогда я уже более-менее освоил Steam как игровую платформу и в день релиза игры приобрел ее, к моему счастью, не начав в нее играть. Как я понял сейчас, оно было к лучшему, потому что многие из моих друзей кто начинал в то время свой путь в этой свалке, позже очень сильно пожалели об этом. На первом этапе жизни, обновленный соревновательный шутер представлял из себя легкую и достаточно приятную для глаз картинку. Казалось, что было взято все самое лучшее из предыдущих частей и улучшено, а также добавлено немного нового. Правда тогда я особо не обращал на это внимания, большинство карт были выучены как таблица умножения, а все окружающее вокруг меня выглядело слегка по-другому.Первое крупное обновление именуемое «Arms Deal» появилось в середине 2013 года, внесшее в игру коллекции с различными раскрасками для оружия. С этого дня принято считать, что всем привычная нам соревновательная, а главное классическая игра начала превращаться в клоунаду с микроплатежами. В течении последних лет CS:GO получала мелкие обновления в виде заплаток, обновления контента в виде пополнения предметов под раскраску, изменения интерфейса и даже собственный режим королевской битвы.Одним словом, внутри, игра осталась в том виде, в каком она была в день ее релиза и визуально практически не менялась. Весь добавляемый разработчиками контент, это так называемые спец операции с различными заданиями и пополнение арсенала кейсов с различными раскрасками. Ну и по уже сложившейся традиции эта игра сильно популярна в кибер спорте, от чего ее продвижение в обычной жизни постоянно поддерживается, привлекая новых игроков широкой рекламой и большой доступностью, ведь с недавних пор игра стала условно бесплатной. Во всем остальном игру поддерживает ее огромное игровое сообщество, контентом на YouTube, Twitch и ценами на торговой площадке для вещей.Как говориться. Пока вентиль крутиться – деньги мутятся!Для большинства игроков купить дорогую вещь в этой игре является чем-то престижным, показать на сколько он богат для широкой публики, для кого-то это уже настоящий способ заработка. Ну а корпорации зла Valve (сарказм) остается только купаться в зелени.Во всем остальном это типичный соревновательный, а главное командный шутер, где решает безусловно стрельба (прямые руки), тактика и слаженная работа ваших товарищей по команде. Все как в остальных подобных играх короче говоря, ничего нового здесь не скажешь.Что касается рейтингового режима или как его называют местные «ММ», то на данный момент он уже давно ушел от своего названия и сейчас это не больше чем битва читеров. Вообще Counter-Strike:GO эта игра, где считается нормальным, поднять глобальный ранг с читами, а потом красоваться перед всеми, мол смотрите, какой я профессионал!Короче говоря, спортивный интерес из-за такого, у многих пропадает и по этому, проще побегать на каком ни будь паблике, с хорошим администратором, чем тратить свои нервные клетки (которые кстати не восстанавливаются) на малолетнего инвалида играющего со сторонним программным обеспечением. Коих в этой игре сейчас сотни тысяч и из-за отсутствия функционирующий системы против мошенников, они чувствуют себя достаточно комфортно. На что Valve судя по всему наплевать, ведь кейсы и скины то покупают!Техническая сторона:Как я уже говорил выше, главная проблема этой игры – это мошенники (читеры).В игре присутствует автоматизированная система ловли мошенников именуемая Valve Anti Cheat или коротко VAC. На самом же деле, это только на словах она автоматизирована и заблокировать видимо способна только игрока с уже спаленным и давно юзанным бесплатным программным обеспечением, которое присутствует в базе, а все остальное из разряда за мани, она обнаружить не в состоянии. Редко встретишь такое, чтобы во время игры против мошенника его отключало от игры и отправляла в баньку попариться, навечно. В большинстве случаев, такие инвалиды живут от недели до полугода и знаете, достаточно спокойно себя чувствуют. Да, вы конечно можете закидать его профиль жалобами, но сейчас это не эффективно, так как большинство жалоб сейчас бросают в качестве профилактики практически на всех в начале раунда и отследить настоящего нарушителя из-за этого видимо намного сложнее.Казалось бы, давно пора попросту отказаться от этой системы и прибегнуть к более эффективным средствам защиты, вроде Easy Anti Cheat и BattlEye. Но нет же, нужно придумывать что-то новое и как баран упереться в то что их система уникальна и работает как часы. В место этого они ввели так называемую систему «анти чит патруль», где игрокам предоставляется возможность побыть этим самым патрулем и выдать собственный приговор потенциальному нарушителю. Короче говоря, чем больше приговоров на одного человека со стороны таких «патрулей», тем больше шансов что система VAC автоматически выдаст блокировку на профиль этого игрока.Принцип действия этой системы прост, игрок просматривает записанный повтор и в конце реплея оставляет свой вердикт (голос). Многие ради развлечения выносят вердикт о мошенничестве на невиновных людей, из-за чего те отлетают в вечную баньку.У моего друга уже был подобный случай, когда из-за его прямых рук, его заблокировали через систему патруля. После этого, он попросту забросил эту игру и похоже навсегда.Итоговая оценка:За столь долгое время препровождение в игре в целом со всех акков которые у меня были порядка 6к часов я не думал что смогу поставить негативный отзыв игре моего детства, но что есть то есть, да под пивасик с вискарем с кайфом побегать пострелять, но к сожалению это уже далеко не тот Counter-Strike... Однозначно могу сказать, что токсичнее игрового сообщества чем здесь я еще не встречал, Dota не в счет. Эту игру заполонили малолетние инвалиды и токсики, контента здесь нормального нет, все крутится на микроплатежах, раскрасках для оружия и внутриигровом рынке...Да я продолжаю играть в CS-ку и в ММ захожу иногда, но сейчас стал уделять время больше каткам на фэйсит, данный отзыв решил написать больше как крик души, и добрых воспоминаний о Counter-Strike который был ранее... Жаль что такая легенда как Counter-Strike пришла к нечто подобному и обратного пути уже к сожалению нет и не будет!!! Всем спасибо кто дочитал до конца, берегите себя и близких!Ну что вот и наступил тот день (28.09.2023) когда я прощаюсь с еще одной легендой Counter-Strike: Global Offensive... То что нам предоставили Valve интересный продукт, будет наблюдать...",Не рекомендую
Стендоффчик,Рекомендую
Лучший способ лишиться анальной девственности,Рекомендую
"Итак, что же такое CS GO?- CS GO это когда раскраски оружия стоят дороже крутых игровых девайсов.- CS GO это когда ты обязан дропнуть свой красивый калаш всей команде.- CS GO это когда открываешь 20 сундуков и получаешь 20 кусков синего г**на.- CS GO это когда тебя добавляют школьники и предлагают over 9000 сундуков в обмен на твой нож.- CS GO это когда тебя добавляет школьник и начинает выпрашивать в подарок шмотку ценой в 3500 рублей, приводя при этом аргумент ""да ты ж богатый, что тебе стоит!"".- CS GO это когда тебе по 10 раз в день присылают ссылки на трояны в надежде обчистить твой инвентарь.- CS GO это когда тебя выгоняют только потому что ты Русский.- CS GO это когда ты спалил свой стул после игры в соревновательном режиме.- CS GO это когда ""глобалы"" создают по 10 аккаунтов и получают удовлетворение, играя против ""калашей"".- CS GO это когда ты Russian Noob, если остался против пятерых, убил четверых но не добил пятого.- CS GO это когда ты Russian Noob при счете 21-7-10, а у ближайшего тиммейта 8-0-16.- CS GO это когда ты выучил польский и шведский за одну-две катки.- CS GO это когда в соревновательном режиме поляков больше, чем в самой Польше.- CS GO это когда ты в одиночку открываешь А, а бомба уже про***на на Б.- CS GO это когда на твои советы и вопросы тебе отвечают ""stfu Russian"".- CS GO это когда про***л три звания за день только из-за того, что каждый раз играешь против ""глобалов"", играющих со второго аккаунта.- CS GO это когда каждый третий тиммейт - набустенный сильвер.- CS GO это когда против тебя играет пять ♥♥♥♥♥♥♥♥♥♥ов с АВП.- CS GO это когда одного ""беркута"" и четырех ""калашей"" кидает против пяти ""супримов"".- CS GO это когда высаживаешь все 30 патронов в одного ♥♥♥♥♥♥♥♥♥♥а и наносиишь 99 in 7, а тот рандомным выстрелом попадает тебе в голову.- CS GO это когда VAC показательно банит профессиональных игроков, но не может забанить ♥♥♥♥♥♥♥♥♥♥а, который простреливает всю команду через три стены, имея при этом 2.2 часа в игре.Кому понравился отзыв поставте палец вверх и напиши чтонибудь в профиле моем ! Спасибо!!!!Все это CS GO!!!  Не Болейте!!!!",Рекомендую
"Кратко о системе званий:• Вы слили три игры подряд? - Понижение.• Вы выиграли семь игр подряд, а затем слили игру? - Понижение.• Ничья? - Понижение.• Вам попались ♥♥♥♥♥♥♥♥♥♥ы в команду? - Понижение.• Ваши друзья думают, что вы шутите о новой системе рангов? - Понижение.• Вас кикнули? - Бан и понижение.• Вам что-то не нравится? - Понижение.• Вы не открываете кейсы? - Понижение.• Вы зарегистрированы в Origin? - Понижение.• Вы выиграли пятнадцать игр подряд? - Кхм... Нууу... Мы подождём, пока вы проиграете.• Вы проиграли? - Понижение.• Вам выпал нож? - Понижение.• Вам не выпал нож? - Понижение.• Вам НРАВИТСЯ новая система рангов? - Прекрасно, понижение вам тоже понравится.• Вы не заходите в игру? - Понижение.• Вы заходите в игру? - Держите худших тиммейтов придурков и понижение.• Зачем? - Понижение.• Понижение? - Понижение.• Повышение? - Понижение.11/10 по шкале слива рангов.",Рекомендую
"Кратко о системе званий:• Вы слили три игры подряд? - Понижение.• Вы выиграли семь игр подряд, а затем слили игру? - Понижение.• Ничья? - Понижение.• Вам попались ♥♥♥♥♥♥♥♥♥♥ы в команду? - Понижение.• Ваши друзья думают, что вы шутите о новой системе рангов? - Понижение.• Вас кикнули? - Бан и понижение.• Вам что-то не нравится? - Понижение.• Вы не открываете кейсы? - Понижение.• Вы зарегистрированы в Origin? - Понижение.• Вы выиграли пятнадцать игр подряд? - Кхм... Нууу... Мы подождём, пока вы проиграете.• Вы проиграли? - Понижение.• Вам выпал нож? - Понижение.• Вам не выпал нож? - Понижение.• Вам НРАВИТСЯ новая система рангов? - Прекрасно, понижение вам тоже понравится.• Вы не заходите в игру? - Понижение.• Вы заходите в игру? - Держите худших тиммейтов придурков и понижение.• Зачем? - Понижение.• Понижение? - Понижение.• Повышение? - Понижение.11/10 по шкале слива рангов.",Рекомендую
"Здесь очень хорошие игроки. Они с уважением относятся к вашим родственникам. Узнал много интересного про своих родителей. Мне кажется, что все 4 тиммейта любят мою маму больше чем я сам. Иногда попадаются люди с проблемами позвоночника. Им приходится смотреть вниз при этом бегать по карте. Конечно они раздают фраги жёстко, но мне всё равно жалко таких людей-инвалидов которые родились с заболеванием позвоночника. Бывает, в катку закинет человека, который способен чувствовать противника через стены. Недолго думая мой тиммейт тоже решил овладеть такой способностью. Какая-то Битва Экстрасенсов получается. За эти 1300 часов проведённых в этой замечательной игре я пополнил свой словарный запас матами на 100 томов. Ещё здесь можно встретить успешных самцов, которые переспали со всеми мамами света.",Рекомендую
"Я помню чудное мгновеньеЦзшка, Молотов и флешкаТащить я должен на длине,Но тут выходит враг ко мне.А я мой друг не растерялся,Мой верный Молотов взорвался,Врагам на зло в коробе той.Но вот и Молотов потух,И что же делать милый друг ?Пора милок достать цзшку,А с ней и флешку.И вот я флеш кидаю в них,Враг мой ослеп и тут же сник.А я к ним мчуся как стрела,В руке есть дрожь и нет скила.Но я отнюдь не забоялся,Я прям в коробу к ним ворвался,Не дожидаясь тиму с дна,Я сделал минус,Потом два.Потом еще, еще, еще !!!И вот он эйс мой долгожданный,Но тут очнулся я от сна.И вижу счет 16:2.",Рекомендую
"Вальве забили на античит, читеров НЕ БАНЯТ ВООБЩЕ, репортили ОЧЕВИДНЕЙШЕГО читера, попросили друзей его зарепортить, написали на почту вальве, прошло 2 недели, он как играл, так и играет. ЕСЛИ НЕ МОЖЕТЕ ВВЕСТИ АНТИЧИТ, ВЕРНИТЕ ХОТЯ БЫ ПАТРУЛЬ, Я ИХ САМ БАНИТЬ БУДУ.Как играть в эту ♥♥♥♥♥♥ ?? Даже в варфейсе банят читеров ....",Не рекомендую
"Кратко о системе званий:• Вы слили три игры подряд? - Понижение.• Вы выиграли семь игр подряд, а затем слили игру? - Понижение.• Ничья? - Понижение.• Вам попались ♥♥♥♥♥♥♥♥♥♥ы в команду? - Понижение.• Ваши друзья думают, что вы шутите о новой системе рангов? - Понижение.• Вас кикнули? - Бан и понижение.• Вам что-то не нравится? - Понижение.• Вы не открываете кейсы? - Понижение.• Вы зарегистрированы в Origin? - Понижение.• Вы выиграли пятнадцать игр подряд? - Кхм... Нууу... Мы подождём, пока вы проиграете.• Вы проиграли? - Понижение.• Вам выпал нож? - Понижение.• Вам не выпал нож? - Понижение.• Вам НЕ нравится новая система рангов? - Понижение.• Вам НРАВИТСЯ новая система рангов? - Прекрасно, понижение вам тоже понравится.• Вы не заходите в игру? - Понижение.• Вы заходите в игру? - Держите тупых тиммейтов.• Зачем? - Понижение.• Понижение? - Понижение.• Повышение? - Понижение.10/10 по шкале слива рангов.",Рекомендую
